fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1752,NIWARI,201868,618.453642192032,7,7,0,124,35,4851,6551,923,7291,571,6779,3.878,44.3928981,897,1156,35162,59664,0,48913,82149,4975,40.5148981,2880,66,15.64,69.09,100,NA
2025-2026,April,17,MADHYA PRADESH,1701,MORENA,1189426,302.79344332476,5,73,38.1801556,91,234,8582,227048,23860,39476,2763,4338,17.62064,743.2872528,38109,38984,236892,295895,0,326882,410458,8673,687.4864572,93741,14,35.5,94.25,100,NA
2025-2026,April,17,MADHYA PRADESH,1711,DAMOH,863729,331.26114191556,7,31,1.3875186,297,243,16002,86784,10017,38706,17913,37059,38.15492,327.024108,12264,13627,152498,258818,0,280586,459600,16299,287.4816694,31984,63,70.53,82.96,100,NA
2025-2026,April,17,MADHYA PRADESH,1717,RATLAM,451020,284.767978744737,9,12,0,188,178,14752,24935,6847,59196,10270,67618,27.34207,98.3489655,2617,3601,98794,217541,0,188950,391054,14940,71.0068955000001,9551,79,16.03,39.25,100,NA
2025-2026,April,17,MADHYA PRADESH,1720,DEWAS,391927,320.012669356637,8,26,3.645,170,100,11752,49319,9494,33446,11243,39274,28.29452,189.7665684,5758,7201,87105,176414,0,165896,336160,11922,157.8270484,15253,75,25.1,35.68,100,NA
2025-2026,April,17,MADHYA PRADESH,1723,INDORE,112417,238.748714580597,6,5,0.2687,51,183,5666,5329,1358,10224,1305,14549,22.046,35.037619,772,876,31512,61715,0,69707,133523,5717,12.722919,2068,59,12.19,13.64,100,NA
2025-2026,April,17,MADHYA PRADESH,1725,KHANDWA,548085,318.954487265309,9,22,0,252,93,11619,31371,3317,24702,10542,104527,24.79848,124.8576922,3471,4997,124159,309263,0,197082,465351,11871,100.0592122,13627,66,30.41,47.43,100,NA
2025-2026,April,17,MADHYA PRADESH,1727,VIDISHA,463598,357.250881795914,8,12,4.2317245,700,149,18622,39601,7632,27140,2759,12890,24.89284,170.5994862,4892,5623,106976,161339,0,222916,323987,19322,141.4749217,11963,74,17.28,28.22,100,NA
2025-2026,April,17,MADHYA PRADESH,1730,RAISEN,296464,319.144821350627,10,21,0,367,111,15564,48111,8992,21784,7818,23188,25.90702,179.450785,4611,5945,70895,123891,0,157645,249445,15931,153.543765,17657,79,14.56,11.02,100,NA
2025-2026,April,17,MADHYA PRADESH,1737,SEONI,1239628,354.81618640656,9,121,0,986,172,18245,54644,6422,56115,23630,210816,24.50839,218.3941469,5981,8820,188034,452958,0,225076,531208,19231,193.885756900001,28837,70,44.34,59.8,100,NA
2025-2026,April,17,MADHYA PRADESH,1740,UMARIA,362421,802.154584876161,8,12,0.6948,228,52,9072,12153,1122,11792,7507,85136,8.72213,106.9027767,1416,1807,85185,153889,0,119090,203263,9300,97.4858466999999,5758,76,18.67,46.7,100,NA
2025-2026,April,17,MADHYA PRADESH,1746,ANUPPUR,847475,365.638769834958,8,133,5.6410211,302,26,10079,81737,5619,23796,50496,140499,5.4762,309.9793824,9702,12485,122690,249559,0,161512,318376,10381,298.8621613,41624,78,72.99,78.6,100,NA
2025-2026,April,17,MADHYA PRADESH,1748,ASHOK NAGAR,522994,367.913787408268,7,40,9.42587166,350,64,18575,57641,11682,28497,6073,15595,11.38088,232.87593786,7799,9280,85127,143080,0,153348,549217,18925,212.0691862,18781,85,30.32,54.95,100,NA
2025-2026,April,17,MADHYA PRADESH,1751,AGAR-MALWA,356964,366.808956958723,8,16,0.17658,209,31,11906,26068,8080,32773,1096,4292,12.3639,108.1602389,3224,4381,56884,121590,0,110139,221898,12115,95.6197589,10075,80,18.78,30.84,100,NA
2025-2026,April,17,MADHYA PRADESH,1701,MORENA,1189426,419.302024409657,5,30,38.1801556,77,309,8530,56535,4258,39454,917,4338,32.58699,307.8195451,9646,9896,236758,295616,0,326189,409528,8607,237.0523995,22319,14,14.97,77,100,NA
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,211954,759.653796095444,7,2,0,114,136,5039,2766,875,17052,225,2735,13.76768,34.779704,389,470,37906,66007,0,81686,146580,5153,21.012024,1102,50,29.59,0,100,NA
2025-2026,April,17,MADHYA PRADESH,1709,PANNA,567602,725.305919374163,7,12,0.78582,181,143,11165,14189,2905,42664,1469,36534,23.84249,127.5419669,1785,2429,105981,221783,0,168636,338125,11346,102.9136569,5228,68,14.01,33.38,100,NA
2025-2026,April,17,MADHYA PRADESH,1721,JHABUA,611392,958.156762122598,8,14,1.1982,171,135,16472,10930,372,14866,9909,283154,16.31827,122.2430041,1297,1986,145338,317276,0,215493,451077,16643,104.7265341,4728,74,27.7,5.15,100,NA
2025-2026,April,17,MADHYA PRADESH,1722,DHAR,1013653,445.723408977244,8,74,0,404,232,24755,47988,3819,41805,34163,284459,33.17345,247.0671995,5557,7692,197115,417694,0,312948,648045,25159,213.8937495,20135,63,12.89,37.98,100,NA
2025-2026,April,17,MADHYA PRADESH,1723,INDORE,112417,168.489346866725,6,4,0.2687,14,266,5606,2266,495,10182,575,14538,21.82419,25.9108586,357,398,31446,61594,0,69676,133480,5620,3.8179686,901,58,2.45,0,100,NA
2025-2026,April,17,MADHYA PRADESH,1728,BHOPAL,263218,800.08167830215,7,2,0,118,87,5370,3581,736,10673,348,3198,10.76089,39.4118149,476,628,40007,65183,0,71094,116141,5488,28.6509249,1642,65,32.23,5.68,100,NA
2025-2026,April,17,MADHYA PRADESH,1737,SEONI,1239628,602.357467477206,9,34,0,195,315,18646,16450,2092,56108,7707,210793,21.98384,121.0716434,1810,2792,188001,452841,0,224942,530942,18841,99.0878034000004,8779,70,38.3,7.51,100,NA
2025-2026,April,17,MADHYA PRADESH,1744,KATNI ,591077,852.050838276512,6,16,0.25038,158,113,6680,15341,2169,44848,4325,80737,15.06533,146.0288291,2374,2958,131009,279720,0,172830,365915,6838,130.7131191,7758,50,45.69,19.21,100,NA
2025-2026,April,17,MADHYA PRADESH,1725,KHANDWA,548085,330.381591811794,8,19,0,222,133,11447,19638,1825,24704,6930,104517,23.91548,88.795817,2329,3287,124117,309155,0,197045,465270,11669,64.880337,8402,66,13.01,35.2,100,NA
2025-2026,April,17,MADHYA PRADESH,1728,BHOPAL,263218,583.235654545454,7,3,0,136,86,5378,4950,1010,10692,432,3200,10.76089,39.6310549,662,863,40022,65213,0,71133,116193,5514,28.8701649,2257,65,27.5,6.82,100,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,341527,365.201291909483,6,3,3.6718594,219,116,10160,13213,2288,24704,3054,26580,21.16309,73.0889961,1963,2386,72069,135252,0,150777,264552,10379,48.2540467,4355,71,29.03,3.89,100,NA
2025-2026,April,17,MADHYA PRADESH,1736,CHHINDWARA,1206413,332.459252758543,8,180,17.2809803,799,104,22121,93437,13197,85622,47151,267924,34.81168,362.7326123,10949,15774,221584,523356,0,286584,658576,22920,310.639952,44882,74,16.23,13.81,100,NA
2025-2026,April,17,MADHYA PRADESH,1737,SEONI,1239628,423.871909511825,8,76,0,592,238,18384,32181,3724,56107,13627,210798,22.30884,158.7150592,3685,5454,188007,452861,0,224998,531037,18976,136.4062192,17275,70,48.01,11.5,100,NA
2025-2026,April,17,MADHYA PRADESH,1738,BALAGHAT,1446995,635.983192011126,6,288,1.10914,304,55,21029,81964,2763,27025,22428,129195,73.30213,595.6885335,12165,14740,264767,571519,0,318487,671824,21333,521.2772635,51878,78,62.83,15.83,100,NA
2025-2026,April,17,MADHYA PRADESH,1744,KATNI ,591077,651.12983148446,6,26,0.25038,161,101,6700,23618,3269,44852,6687,80742,15.06533,169.0995536,3528,4495,131017,279751,0,172853,365994,6861,153.7838436,11732,50,50.05,19.42,100,NA
2025-2026,April,17,MADHYA PRADESH,1752,NIWARI,201868,664.038490004956,7,7,0,119,36,4849,6053,876,7290,534,6779,3.878,44.0722498,843,1078,35162,59661,0,48878,82092,4968,40.1942498,2620,66,15.53,70.99,100,NA
2025-2026,April,17,MADHYA PRADESH,1705,SHIVPURI,0,0,0,0,0,22,497,36115,0,0,54686,0,67229,0,26.9771754,0,0,195735,337310,0,337567,616101,36137,26.9771754,0,82,0,100,0,NA
2025-2026,April,17,MADHYA PRADESH,1706,GUNA,0,0,0,0,0,55,327,18001,0,0,26272,0,48137,0,28.4723373,0,0,100155,213716,0,209215,432310,18056,28.4723373,0,81,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1715,SIDHI,0,0,0,0,0,47,280,13904,0,0,30176,0,60076,0,38.7479662,0,0,125515,201837,0,165699,256378,13951,38.7479662,0,65,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1716,MANDSAUR,0,0,0,0,0.81456,8,388,14393,0,0,37238,0,8056,0,16.0916001,0,0,89267,189546,0,173095,357654,14401,15.2770401,0,68,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1721,JHABUA,0,0,0,0,0,22,309,16545,0,0,14858,0,282827,0,21.4848308999999,0,0,145174,316908,0,215250,450565,16567,21.4848308999999,0,73,0,100,0,NA
2025-2026,April,17,MADHYA PRADESH,1728,BHOPAL,0,0,0,0,0,31,176,5451,0,0,10642,0,3190,2.513,8.4902864,0,0,39944,65057,0,70943,115932,5482,5.9772864,0,65,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1731,BETUL,0,0,0,0,0,19,510,12963,0,0,52390,0,195098,0,6.984032,0,0,151835,365009,0,215320,491016,12982,6.984032,0,59,100,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1733,JABALPUR,0,3197557.21,1,0,0.1527,123,369,13557,1,1,37373,0,63872,0.18,32.3082721,1,1,93045,184613,0,156771,300206,13680,31.9755721,0,66,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1738,BALAGHAT,0,0,0,0,1.00852,36,369,20611,0,0,27002,0,128982,0,143.6508161,0,0,264555,570804,0,318236,671050,20647,142.6422961,0,78,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1741,NEEMUCH,0,0,0,0,0,36,221,6010,0,0,12531,0,9871,0,1.38753,0,0,44649,98955,0,90590,195632,6046,1.38753,0,60,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1749,ALIRAJPUR,0,0,0,0,0.819,24,220,10735,0,0,35932,0,188358,0,24.7608963,0,0,101445,235884,0,146299,322334,10759,23.9418963,0,74,68.98,31.02,0,NA
2025-2026,April,17,MADHYA PRADESH,1703,GWALIOR,189309,0,0,0,0,22,208,9053,0,0,13956,0,8496,19.85485,30.02683,0,0,47117,76342,0,110891,213487,9075,10.17198,0,51,0,0,0,NA
